name,site,inn,industry,parsing_success,parsing_method,parsing_error,final_url,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7,support_team_size_min,support_evidence,evidence_url,evidence_type,support_email,support_url,kb_url,chat_vendor,source,page_title,analysis_method
Wildberries,https://www.wildberries.ru,7728316484,retail,True,selenium,,https://www.wildberries.ru/,False,False,True,False,True,False,True,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://www.wildberries.ru/,site,,https://www.wildberries.ru/services/kontakty,,online-chat,company_site_improved,Интернет-магазин Wildberries: широкий ассортимент товаров - скидки каждый день!,combined
OZON,https://www.ozon.ru,1027739244741,retail,True,selenium,,https://www.ozon.ru/?__rr=1&abt_att=1,False,False,True,False,True,True,False,0,,https://www.ozon.ru/?__rr=1&abt_att=1,site,,https://corp.ozon.ru/media#contacts,https://pvz-guide.ozonpartners.ru/,unknown,company_site_improved,OZON маркетплейс – миллионы товаров по выгодным ценам,combined
Яндекс.Маркет,https://market.yandex.ru,7736207543,retail,True,selenium,,https://market.yandex.ru/,False,False,True,False,True,True,False,0,,https://market.yandex.ru/,site,,https://yandex.ru/support/market/choice-goods/product-search.html,https://market.yandex.ru/card/golovolomka-dlya-detey-i-vzroslykh-analog-kubik-rubika--antistress-dlya-detey-i-vzroslykh-razvivayushchaya-igra-tsvet-zelenyy/4708393959?offerid=ZqYepgPCc6TzDBUj7To2iQ&cpc=DX_vyKwt2Wu0FlGEvzhJZKSFAhJlqZSrvQfU5KHNRUY4EqVrVc6ODdOVilEgraP1XhiBaEaPLJD-eQ5yacZHDFaq3bT8Ob2sMIJpMTM7xPfF6nmNRhjkK2sN547BNYmM51mlFi2rLyDpEU6h6opvdSqEYvYPEwQMZ2__9-IGNygeF3fIf4-TipTAXSrssz0inNI4zwB-IAp0arqsEdAc-aa8N7akyDlUaaS_MRMX25-Ds6xjcO7SiF2I-hXXRBopc-ilp8xvZe6LdC33IIX1QV6zzFcojDOoGQtoL-BilZAZse65beZTKub_VgkG-dnHeA0B7loAqiDNFvDEnxrAg1d6AO9juiI4&show-uid=17664190528096449601506012&lr=172,unknown,company_site_improved,Яндекс Маркет — покупки с быстрой доставкой,combined
СИТИЛИНК,https://www.citilink.ru,НЕ_НАЙДЕН,retail,True,selenium,,https://www.citilink.ru/,False,True,True,False,False,False,False,0,,https://www.citilink.ru/,site,,,,unknown,company_site_improved,"Ситилинк – интернет-магазин техники, электроники, товаров для дома и ремонта",combined
М.Видео,https://www.mvideo.ru,НЕ_НАЙДЕН,retail,True,selenium,,https://www.mvideo.ru/,False,False,False,False,True,False,False,0,,https://www.mvideo.ru/,site,,https://www.mvideo.ru/contacts?from=footer,,,company_site_improved,М.Видео - интернет-магазин цифровой и бытовой техники и электроники,combined
Эльдорадо,https://www.eldorado.ru,НЕ_НАЙДЕН,retail,True,selenium,,https://www.eldorado.ru/,False,True,True,False,True,False,True,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://www.eldorado.ru/,site,,https://www.eldorado.ru/help/,,unknown,company_site_improved,"Эльдорадо - интернет-магазин электроники, цифровой и бытовой техники, выгодные цены, доставка по Москве и регионам",combined
DNS,https://www.dns-shop.ru,НЕ_НАЙДЕН,retail,True,selenium,,https://www.dns-shop.ru/,False,False,False,False,False,False,False,0,,https://www.dns-shop.ru/,site,,,,,company_site_improved,HTTP 403,combined
Лента,https://lenta.com,НЕ_НАЙДЕН,retail,True,selenium,,https://lenta.com/,False,False,False,False,False,False,False,0,,https://lenta.com/,site,,,,,company_site_improved,HTTP 403,combined
Магнит,https://magnit.ru,НЕ_НАЙДЕН,retail,True,selenium,,https://magnit.ru/,False,False,True,False,True,True,True,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://magnit.ru/,site,,https://magnit.ru/faq,https://magnit.ru/faq,unknown,company_site_improved,"Сеть магазинов Магнит — акции, скидки и полный каталог",combined
Пятерочка,https://5ka.ru,НЕ_НАЙДЕН,retail,True,selenium,,https://5ka.ru/,False,False,False,False,True,False,False,0,,https://5ka.ru/,site,,https://5ka.ru/feedback/,,,company_site_improved,Доставка продуктов на дом — купить готовую еду и продукты по низкой цене в интернет-магазине «Пятёрочка»,combined
Яндекс,https://yandex.ru,7736207543,it,True,requests,,https://sso.passport.yandex.ru/push?uuid=cc8ffa4e-0ab3-46b1-b899-1dcd306d193f&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue,False,False,False,False,False,False,False,0,,https://sso.passport.yandex.ru/push?uuid=cc8ffa4e-0ab3-46b1-b899-1dcd306d193f&retpath=https%3A%2F%2Fdzen.ru%2F%3Fyredirect%3Dtrue%26is_autologin_ya%3Dtrue,site,,,,,company_site_improved,,combined
VK,https://vk.com,7743001840,it,True,selenium,,https://vk.com/,False,False,False,False,True,True,False,0,,https://vk.com/,site,,https://id.vk.com/about/faq/users/registration_and_login/login?utm_source=auth_help_web2&utm_medium=organic&utm_content=init-START_QR_PAGE,https://id.vk.com/about/faq/users/registration_and_login/login/QR/20313,,company_site_improved,ВКонтакте | Добро пожаловать,combined
Рамблер,https://rambler.ru,НЕ_НАЙДЕН,it,True,requests,,https://www.rambler.ru/,False,False,False,False,True,False,False,0,,https://www.rambler.ru/,site,,https://help.rambler.ru/legal/1430/?p=id,,,company_site_improved,"Рамблер — медийный портал: новости России и мира, почта, поиск, погода",combined
1С,https://1c.ru,НЕ_НАЙДЕН,it,True,requests,,https://1c.ru/,False,False,False,False,True,False,False,0,,https://1c.ru/,site,,https://1c.ru/rus/support/predpr-service.htm,,,company_site_improved,Фирма «1С»,combined
Авито,https://www.avito.ru,7724458880,it,True,requests,,https://m.avito.ru/,False,False,False,False,True,True,False,0,,https://m.avito.ru/,site,,https://support.avito.ru,https://m.avito.ru/all/predlozheniya_uslug/krasota-ASgBAgICAUSYC6qfAQ?context=H4sIAAAAAAAA_0q0MrSqLraysFJKK8rPDUhMT1WyBnOLM_KLSpJLS5SsawEBAAD__7D1u_8kAAAA,,company_site_improved,Авито — Объявления на сайте Авито,combined
Дром,https://www.drom.ru,НЕ_НАЙДЕН,it,True,requests,,https://www.drom.ru/,False,False,False,False,True,True,False,0,,https://www.drom.ru/,site,,https://my.drom.ru/help/VozniklaProblemanaDrome,https://www.drom.ru/faq/,,company_site_improved,ÐÑÐ¾Ð¼ - ÑÐµÐ½Ñ Ð½Ð° Ð¼Ð°ÑÐ¸Ð½Ñ,combined
Юла,https://youla.ru,НЕ_НАЙДЕН,it,True,selenium,,https://youla.ru/,False,False,True,False,True,False,False,0,,https://youla.ru/,site,,https://help.mail.ru/legal/terms/youla/LA?preset.hidden_ua=YoulaWEB%20Mozilla%2F5.0%20(Windows%20NT%2010.0%3B%20Win64%3B%20x64)%20AppleWebKit%2F537.36%20(KHTML%2C%20like%20Gecko)%20Chrome%2F135.0.0.0%20Safari%2F537.36%20User_is_promoted%3A%200,,jivo,company_site_improved,"Юла - доска объявлений, бесплатные частные объявления",combined
2ГИС,https://2gis.ru,НЕ_НАЙДЕН,it,True,selenium,,https://2gis.ru/ufa,False,False,True,False,True,True,False,0,,https://2gis.ru/ufa,site,,https://help.2gis.ru/question/kuda-propal-otzyv?utm_source=v5online,https://help.2gis.ru/question/kuda-propal-otzyv?utm_source=v5online,jivo,company_site_improved,Карта городов России: подробные карты с поиском по адресу — 2ГИС,combined
Ингосстрах,https://www.ingos.ru,7714017986,insurance,True,selenium,,https://www.ingos.ru/,True,False,True,False,True,True,True,10,Поддержка 24/7 (сменный график требует минимум 10 человек),https://www.ingos.ru/,site,www@ingos.ru,https://www.ingos.ru/pomoshch-na-doroge,https://www.ingos.ru/faq,unknown,company_site_improved,Страховая компания Ингосстрах — Страхование онлайн,combined
Ренессанс Страхование,https://www.renins.com,7736019967,insurance,True,selenium,,https://www.renins.ru/,False,True,True,False,True,False,False,0,,https://www.renins.ru/,site,,https://www.renins.ru/invest/contact/,,unknown,company_site_improved,Ренессанс страхование - универсальная страховая компания - renins.ru,combined
